"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-71291","Metabolism of amino acids and derivatives",305,0.415809781834922,2.2729264955568,1e-10,8.68823529411765e-09,6.44582043343653e-09,3495,"tags=44%, list=22%, signal=35%","7311/6232/6204/7296/6142/2184/6233/5710/6139/4736/6188/5832/6235/25873/23521/6124/6128/440/6206/1160/3921/6208/6169/6223/5092/5707/5692/6210/1615/84245/6203/6143/8659/6155/6141/6193/6205/5827/6209/8564/29968/5696/5693/51065/2806/79048/2197/6156/6821/5695/6230/196743/26227/5009/6136/27034/5716/4946/6157/3735/6201/6166/51121/57407/6133/6217/6165/191/4507/4942/57571/5694/6227/6218/5702/5859/5701/3376/5699/5698/5700/4947/5686/1892/4837/586/6170/6171/23198/7965/2058/593/5721/51540/5689/6158/6175/3176/4552/8604/55217/5711/11112/5691/445/587/23446/51166/6138/6164/7263/4329/116832/2628/5690/5831/223/5713/6176/6122/5718/29920/5715/1743/57494/6611/113675/1728/2653/6181/6135/10197/26275/5917"
"R-HSA-72312","rRNA processing",193,0.435063790055386,2.26544126098386,1e-10,8.68823529411765e-09,6.44582043343653e-09,4214,"tags=54%, list=27%, signal=40%","7311/6232/6204/6142/6233/6139/4736/6188/54913/6235/25873/23016/90459/23521/6124/6128/6206/55651/3921/6208/10436/6169/6223/6210/54881/6203/6143/6155/6141/6193/6205/6209/81887/51065/92856/56915/2197/6156/55131/51118/4691/114049/8602/6230/6136/55226/9277/28987/60528/6157/6201/6166/51121/8568/6133/22803/84946/6217/6165/118460/6227/6218/51013/54555/117246/6170/6171/134430/55272/55505/55759/79897/6158/5394/6175/84128/4809/10171/6138/57647/6164/116832/51106/10199/6176/6122/10799/10813/9790/6181/6135/88745/27341/51202/4839/9136/1736/6132/54512/26354/6146/6159/3028/6161/6229"
"R-HSA-156842","Eukaryotic Translation Elongation",90,0.548542174530339,2.52094949206696,1.30571347975953e-10,1.07141044978046e-08,7.94881714871155e-09,3387,"tags=61%, list=22%, signal=48%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/1933/6206/3921/6208/6169/6223/1936/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/6230/1938/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/1915/6170/6171/6158/6175/6138/6164/116832/6176/6122/6181/6135"
"R-HSA-156902","Peptide chain elongation",87,0.546569595368396,2.49287668781944,2.87265925777438e-10,2.02043701130132e-08,1.49896656007175e-08,3387,"tags=61%, list=22%, signal=48%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/6230/1938/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/1915/6170/6171/6158/6175/6138/6164/116832/6176/6122/6181/6135"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",93,0.537125250467836,2.47535456247741,2.63793701094459e-10,2.02043701130132e-08,1.49896656007175e-08,3433,"tags=59%, list=22%, signal=46%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/6230/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/23708/6170/6171/6158/6175/1981/6138/6164/116832/5976/6176/6122/6181/6135/26986"
"R-HSA-72689","Formation of a pool of free 40S subunits",99,0.52290832722688,2.46211821742287,2.75446276061875e-10,2.02043701130132e-08,1.49896656007175e-08,3112,"tags=59%, list=20%, signal=47%","8664/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/8662/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/8666/51065/8667/3646/2197/6156/51386/6230/6136/8668/6157/6201/6166/51121/6133/6217/6165/6227/6218/6170/6171/8665/6158/6175/27335/6138/6164/116832/6176/6122"
"R-HSA-168273","Influenza Viral RNA Transcription and Replication",132,0.47682255638407,2.32835194880697,4.77702786869049e-10,3.20712280093448e-08,2.37937129727598e-08,4244,"tags=61%, list=27%, signal=45%","7311/6232/6204/6142/23225/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/5432/7175/6193/6205/6209/51065/2197/6156/5436/5611/11097/23511/5438/6230/5433/79023/6136/6157/6201/6166/51121/79902/6133/6217/6165/8480/6227/6218/5435/6170/8021/6171/6158/6175/142/6138/6164/116832/5441/23165/6176/6122/81929/6181/6135/6396/9688/6132/55746/5437/6146/6159/6161/6229/23279/55706"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport",226,0.402431837380975,2.11564010433024,5.17340624525421e-10,3.32222653227847e-08,2.46476700288771e-08,4272,"tags=51%, list=27%, signal=38%","54949/7311/3419/9556/6233/51241/4704/4713/1355/4729/10632/80775/516/23479/54539/440957/521/4696/6834/91942/64777/513/4722/29796/3421/4712/7384/644096/4708/5162/2806/4714/517/126328/4695/28976/90871/1327/514/1350/57226/55967/522/5018/10476/1431/1351/119559/6390/10131/9167/27089/51103/23409/9377/55744/2739/5091/84300/1537/6389/498/79944/79064/1329/4723/4709/10063/3313/4694/3420/539/100131801/55101/7316/7386/51204/4701/8604/55969/4200/57001/93058/10873/5165/3418/28958/1347/29078/10975/192111/4702/1743/4191/25915/374291/25953/4731/7314/4707/389203/4711/122961/51079/116228/84233/4725/150274/79018/29090/728294/6391/38/137872/493753/1345"
"R-HSA-2408557","Selenocysteine synthesis",90,0.537653922710962,2.47091007091022,6.54361001764594e-10,4.02704666502627e-08,2.98767457384624e-08,3387,"tags=58%, list=22%, signal=46%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/79048/2197/6156/6230/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/6170/6171/6158/6175/6138/6164/116832/6176/6122/6181/6135"
"R-HSA-192823","Viral mRNA Translation",87,0.539281313284586,2.45963519642485,7.36640918010588e-10,4.35207454360655e-08,3.2288134553643e-08,3387,"tags=60%, list=22%, signal=47%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/5611/6230/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/6170/6171/6158/6175/6138/6164/116832/6176/6122/6181/6135"
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency",98,0.504667812029856,2.36407406357639,2.16275436196256e-09,1.22861084331488e-07,9.11509024616609e-08,3112,"tags=54%, list=20%, signal=44%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/440/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/1968/6205/6209/51065/1649/2197/6156/6230/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/1386/6170/6171/6158/6175/6138/6164/116832/6176/6122"
"R-HSA-9735869","SARS-CoV-1 modulates host translation machinery",37,0.668878860944766,2.52389641348163,4.98502365227351e-09,2.72699256829925e-07,2.02316164601042e-07,1981,"tags=59%, list=13%, signal=52%","6232/6204/6233/6188/6235/6206/3921/6208/6223/6210/6203/6193/6205/6209/51065/2197/6230/6201/6217/6227/6218/1915"
"R-HSA-168255","Influenza Infection",151,0.444241782628001,2.21226245784239,6.19357095696144e-09,3.26710867979716e-07,2.42387494969807e-07,4244,"tags=57%, list=27%, signal=42%","7311/6232/6204/6142/23225/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/10898/6210/6203/6143/5901/6155/6141/5432/7175/6193/6205/6209/51065/2197/6156/5436/5611/11097/23511/5438/6230/5433/79023/6136/6157/6201/6166/51121/79902/6133/6217/6165/8480/6227/6218/5435/6170/8021/6171/6158/6175/142/6138/6164/116832/5441/23165/6176/6122/3840/7514/8106/81929/6181/6135/6396/9688/6132/55746/5437/6146/6159/6161/6229/821/23279/55706"
"R-HSA-8878171","Transcriptional regulation by RUNX1",171,0.423584501970797,2.14800112705789,8.09287239152285e-09,4.12178362837215e-07,3.05796013051734e-07,4375,"tags=49%, list=28%, signal=36%","640/1513/6604/7311/3065/6233/5710/57678/161882/9739/5707/25/5692/84870/6601/8338/55766/1460/5696/5693/860/9757/6605/5695/1459/5716/9070/5579/4343/894/5694/5702/5701/5699/5698/8850/5700/5686/5588/6599/23198/6714/5721/5689/7316/5711/5691/200845/6603/861/11091/85236/1022/5690/5713/1514/5718/6929/865/5715/1912/1998/192670/8312/84661/10197/8364/7314/4297/6602/5781/3020/27327/5720/2625/8289/3276/5682/10138/8362/1387/22955/1457/2033"
"R-HSA-9711123","Cellular response to chemical stress",186,0.410767116423843,2.13039022732462,9.4320197402222e-09,4.6436977187694e-07,3.44516931563906e-07,5705,"tags=61%, list=36%, signal=39%","6604/7311/475/7296/318/6233/5710/6502/596/2876/8878/5707/5692/79728/1460/6888/5696/5693/55666/9817/9611/5034/10498/1327/1535/1350/3043/8945/5695/1351/1459/10061/5716/9167/9377/207/5694/5702/5701/5699/5698/5700/5686/1329/5226/6774/23198/2882/6737/5721/3417/2539/5052/5689/7316/5711/139285/80205/5691/10628/1347/5690/5713/5718/8648/5715/8841/1728/6500/10197/2932/7314/50507/7295/7086/5720/140809/8454/5682/8714/7001/1387/1345/6648/1457/6256/4097/4689/2033/7353/9612/598/30001/5970/2730/81631/9588/6647/7979/1346/2936/10935/25942/3040/79718/114548/5708/538/3039/3162/9973/55620/81502"
"R-HSA-1257604","PIP3 activates AKT signaling",226,0.380733921840946,2.00157114647739,1.64068060966075e-08,7.81704922731911e-07,5.79948561852916e-07,4844,"tags=48%, list=31%, signal=34%","930/7311/3065/6233/5710/29851/5525/389541/10273/1027/64121/5707/6591/55615/5692/1460/5156/5696/5693/2264/55004/5880/5695/58528/1459/5296/5716/2475/4343/51135/207/5694/8074/5702/5701/5699/5698/5700/5686/5295/1147/1958/5879/1386/5305/57504/28956/23198/2323/5527/7874/6714/5721/1108/5159/5689/7316/10542/51564/5711/4915/5691/2254/7409/23396/5690/5713/5718/2146/5715/1912/8841/2309/192670/6199/391/90865/10197/5987/64223/2932/8660/3654/7314/5781/27327/84232/5720/5293/3725/5682/2261/22955/1457/10670/23028/50852/4615/8649/2122/4303/1911/2064/57761/7189/2885/1956/26523/2308"
"R-HSA-422475","Axon guidance",456,0.312811222383152,1.79522249178236,2.41869905574987e-08,1.11638078291955e-06,8.28245301656454e-07,3596,"tags=35%, list=23%, signal=28%","6387/4318/90249/22794/7311/5532/6232/6204/6142/6233/5710/2051/6139/4736/6188/6235/25873/30011/23521/6124/55715/6128/100133941/7094/6206/3921/10552/6208/6586/6169/6223/5707/25/5692/6210/55558/6203/6143/57731/83464/6155/6141/4637/6193/1460/6205/23053/6209/51107/5696/5693/51065/775/60/7220/2197/6156/3312/6923/5695/6230/1459/5296/6136/6464/5716/3199/6157/6201/6166/10921/51121/8912/4650/5058/64218/6133/6217/6165/8911/7305/4629/5694/6227/6218/5702/5701/5699/5698/6453/23708/8453/5786/5700/5686/5588/23385/5295/5879/10487/6170/51466/6171/23198/161/8851/6714/6654/131873/5721/5689/10507/6158/1175/6175/7316/1173/103910/65109/10752/5711/5361/10093/4627/5691/1981/1293/6138/6164/2242/71/116832/2674/1292/23396/5690/5713/6176/55800/6122/5605/5364/5718/8506/3685/5715/163/6181/6135/10109/7436/7852/10197/26986/8874/10094/2932/26019/8660/1605/7314"
"R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex",52,0.584954645513918,2.4051817688011,3.75975996559516e-08,1.63328396152472e-06,1.21173688055249e-06,1925,"tags=56%, list=12%, signal=49%","8664/6232/6204/6233/6188/6235/8662/6206/3921/6208/6223/6210/6203/6193/1968/6205/6209/8666/51065/8667/3646/2197/51386/6230/8668/6201/6217/6227/6218"
"R-HSA-9006925","Intracellular signaling by second messengers",256,0.363383163483919,1.94469524201222,3.67618763080427e-08,1.63328396152472e-06,1.21173688055249e-06,4844,"tags=46%, list=31%, signal=32%","930/7311/3065/6233/5710/29851/5136/5525/389541/10273/808/1027/5613/64121/5707/6591/55615/5692/1460/5156/5696/5693/2264/55004/5880/5695/58528/1459/5296/5716/2475/4343/51135/207/5694/8074/5702/5701/5699/5698/107/5700/5686/5295/1147/1958/5879/1386/5305/57504/28956/23198/2323/5527/818/7874/6714/5721/1108/5159/5689/7316/10542/51564/5711/4915/5691/3708/2254/7409/23396/5690/5713/5718/2146/5715/1912/8841/2309/192670/6199/391/90865/10197/5987/64223/2932/8660/3654/7314/5781/5153/27327/84232/5720/5293/3725/5682/2261/22955/1457/10670/23028/112/50852/4615/8649/2122/4303/1911/2064/57761/7189/2885/1956/26523/2308"
"R-HSA-611105","Respiratory electron transport",136,0.438490443514,2.13746897661918,5.35480107318975e-08,2.25972605288607e-06,1.67649561419264e-06,4069,"tags=55%, list=26%, signal=41%","51241/4704/4713/1355/4729/80775/23479/54539/440957/4696/6834/91942/4722/29796/4712/7384/4708/2806/4714/126328/4695/28976/90871/1327/1350/57226/55967/5018/1351/119559/6390/10131/9167/27089/51103/9377/55744/84300/1537/6389/79064/1329/4723/4709/10063/3313/4694/100131801/55101/7386/51204/4701/8604/55969/93058/28958/1347/29078/10975/4702/4191/25915/374291/25953/4731/4707/389203/4711/51079/116228/84233/4725/150274/29090/6391"
"R-HSA-6798695","Neutrophil degranulation",423,0.308670535427275,1.75455537785732,1.51170383138284e-07,6.20218488597904e-06,4.60141429377057e-06,4782,"tags=42%, list=30%, signal=30%","4318/1508/2547/2821/230/3615/374403/1118/9145/6402/5707/326624/1522/2512/2990/29952/327/8804/25798/10493/5476/23352/6518/140885/1476/1460/7879/8876/654364/10549/29099/2171/4758/945/54472/4831/11322/6836/2548/79895/3312/929/1535/353/81567/3043/11010/55004/5869/5611/6727/374395/5695/3240/3687/1938/3689/80142/47/51646/9961/12/10120/2717/8904/23191/94103/10788/5547/1116/3920/4125/7305/5777/5702/5701/10577/84514/1915/411/114790/5686/1315/23385/6616/718/5879/10576/10487/3614/28956/7077/5004/161/2517/1778/9761/3417/1991/5689/80331/79930/4257/30/10555/353376/8895/4126/10450/79169/1075/226/203068/3074/23412/4033/2992/6993/51816/5713/1511/64333/5718/3685/1794/51382/8635/391/3482/26578/5660/3310/5211/1088/2720/10043/1667/23317/4057/10694/3916/23601/2207/353189/963/5005/5329/1512/410/55860/3608/9522/124583/10312/3326/728358/53917/160364/158747/7520/6793/58485/8649/2268/7414/2760/100049587/29108/5337/28988/25797/6286/4282/1509/11314/2212/2934"
"R-HSA-5610783","Degradation of GLI2 by the proteasome",55,0.564638944031318,2.32371391334082,1.62073891755751e-07,6.46981454387146e-06,4.79996931202664e-06,4062,"tags=64%, list=26%, signal=47%","7311/6233/5710/5707/5692/5696/5693/8945/5695/5716/5694/5702/5701/5699/5698/5700/5686/23198/2736/5721/5689/7316/5711/5691/5690/5713/5718/5715/6500/10197/2932/7314/5720/8454/5682"
"R-HSA-9675108","Nervous system development",475,0.296697989499272,1.70813889494578,1.85459218107224e-07,7.20850697748341e-06,5.34800681577895e-06,3596,"tags=34%, list=23%, signal=27%","6387/4318/90249/22794/7311/5532/6232/6204/6142/6233/5710/2051/6139/4736/6188/6235/25873/30011/23521/6124/55715/6128/100133941/7094/6206/3921/10552/6208/6586/6169/6223/5707/25/5692/6210/55558/6203/6143/57731/83464/6155/6141/4637/6193/1460/6205/23053/6209/51107/5696/5693/51065/775/60/7220/2197/6156/3312/6923/5695/6230/1459/5296/6136/6464/5716/3199/6157/6201/6166/10921/51121/8912/4650/5058/64218/6133/6217/6165/8911/7305/4629/5694/6227/6218/5702/5701/5699/5698/6453/23708/8453/5786/5700/5686/5588/23385/5295/5879/10487/6170/51466/6171/23198/161/8851/6714/6654/131873/5721/5689/10507/6158/1175/6175/7316/1173/3908/103910/65109/10752/5711/5361/10093/4627/5691/1981/1293/6138/6164/2242/71/116832/2674/1292/23396/5690/5713/6176/55800/6122/5605/5364/5718/8506/3685/5715/163/6181/6135/10109/7436/7852/10197/26986/8874/10094/2932/26019/8660/1605/7314"
"R-HSA-72702","Ribosomal scanning and start codon recognition",59,0.549393273155622,2.31625283807739,2.24405366140904e-07,8.32597889299584e-06,6.17706163105061e-06,1925,"tags=53%, list=12%, signal=46%","8664/6232/6204/6233/6188/6235/8662/6206/3921/6208/6223/1974/6210/6203/6193/1968/6205/6209/8666/51065/8667/3646/2197/51386/6230/8668/6201/6217/1975/6227/6218"
"R-HSA-6807070","PTEN Regulation",126,0.435209006402809,2.11949857963115,2.28599737979817e-07,8.32597889299584e-06,6.17706163105061e-06,4607,"tags=52%, list=29%, signal=37%","7311/3065/6233/5710/389541/10273/64121/5707/6591/5692/1460/5696/5693/55004/5695/58528/1459/5716/2475/4343/207/5694/5702/5701/5699/5698/5700/5686/1958/1386/57504/28956/23198/7874/5721/1108/5689/7316/10542/51564/5711/5691/5690/5713/5718/2146/5715/1912/8841/192670/10197/5987/64223/7314/27327/84232/5720/3725/5682/22955/1457/10670/23028/8649/2122/1911"
